user_id,parent_asin,rating,timestamp,history,pcf,main_category
AGBFYI2DDIKXC5Y4FARTYDTQBMFQ,B07GDJL5Y9,4.0,1611936658730,B003BEFK8E B00172A3DE B01GKCHKCM B07ZVKD424 B0718XZD3M B09MK6WGMD B01LXGGUEP B07VGC7JXJ B07PPJB8M3 B01J8NDO20 B07BVC19K3 B085RFMGDG B086QQYV38 B09V8XW4Y2 B085RYFPV2 B07VS4WJ69 B0BX4YQ8C5 B01MYWGS8S B008YVDLCQ,5.0,AMAZON FASHION
AFZUK3MTBIBEDQOPAK3OATUOUKLA,B07BKQNKGW,5.0,1432330612000,B0017KN4MS B0036522XE B00CEKN9Z2 B007H85QWU B000G68GW2 B000W4RV6K B003XPISEO B0C9W1G5X6 B09HCP37PR B001GQ2CEO B00AU6NJLG B09WG9C1ZC B00E221A88 B00GN6ZSKC B00I0RXGAG B008DSG80C B0057R8SSM,2000.0,Sports & Outdoors
AFZUK3MTBIBEDQOPAK3OATUOUKLA,B079NPGY4G,5.0,1592272064604,B0017KN4MS B0036522XE B00CEKN9Z2 B007H85QWU B000G68GW2 B000W4RV6K B003XPISEO B0C9W1G5X6 B09HCP37PR B001GQ2CEO B00AU6NJLG B09WG9C1ZC B00E221A88 B00GN6ZSKC B00I0RXGAG B008DSG80C B0057R8SSM B07BKQNKGW B007SPJ718 B000OF5M04 B07CT8DMPW B08L7NRXNS B0C73P7FTC B09K4NFP9L B0012QZTU2 B003CVKVVW B01IL6A0I6 B000G68GP4 B0009K4EEY B07WT6B5J9 B01L8ZPVPY B07BP4KRFQ B00OT4RA88 B00WW8CB14 B06W56R3YT B077N6RZNH B07H5ZVJMV B078C8DZSY B07791475J B01A4W8AUK B07TDPP7LQ B0765XZBBL B00U7R4XAE B001JB29ZI B09746KBBV B0976XCLGB B015NPJ70U B071S6FSKG B091VYKC96 B07BKSC8CF B07L3MQ1JT B0998QVNLF B07GP3JSCC B0B5GP8JPB B0B6P2PY5D,1.2,Amazon Home
AHFURURV4H35BXUUTXYMJYA36CTQ,B002KV1MJU,5.0,1557434856492,B06XFVKG6Y B0BW86JL7Z B01IB7UDGY,100.0,Sports & Outdoors
AEDWRRZADBQDUTW7HBIWH4QSMUPQ,B07BJZ9NGM,3.0,1588263565918,B08CY2WGS4,100.0,Sports & Outdoors
AHV6QCNBJNSGLATP56JAWJ3C4G2A,B01LZZ76SP,4.0,1486164520000,B00IIOJSUS B00JQDFSGS B00J3ROVS8 B00J1T79M8 B00KY7ONDE B00M1DPM1Q B00MI6Y72Q B00JF4HOLU B00NV6AWK8 B00QKYDPZM B0141IRLCG B00VGKVC5U B00GCBRPFY B00PRHEQVU B00P2T3IG2 B0C37Y5RBP B07KGLW3VG B012BNC14Q B010A0LV7U B013EZE7PG B01LWBM6DK B017168E6W B016LT1F0W B0167JG646 B00U89SVRW B013ZX27MC B019LMPV0Q B01B2P98T0 B01EK8PY0S B01DDW10C8 B01CKJXZTG B01GNVWAYI B01F4HDKMS B000LNR5SG B07BLHG9QK B00702D9WC,100.0,Sports & Outdoors
AHV6QCNBJNSGLATP56JAWJ3C4G2A,B01EM1P56Q,5.0,1530275715146,B00IIOJSUS B00JQDFSGS B00J3ROVS8 B00J1T79M8 B00KY7ONDE B00M1DPM1Q B00MI6Y72Q B00JF4HOLU B00NV6AWK8 B00QKYDPZM B0141IRLCG B00VGKVC5U B00GCBRPFY B00PRHEQVU B00P2T3IG2 B0C37Y5RBP B07KGLW3VG B012BNC14Q B010A0LV7U B013EZE7PG B01LWBM6DK B017168E6W B016LT1F0W B0167JG646 B00U89SVRW B013ZX27MC B019LMPV0Q B01B2P98T0 B01EK8PY0S B01DDW10C8 B01CKJXZTG B01GNVWAYI B01F4HDKMS B000LNR5SG B07BLHG9QK B00702D9WC B01LZZ76SP B0815GDJJJ B01N1F64ZQ B01N32G2VB B07SQB68Z3 B01LBO53CS B09RXRX3QM B0C6KRSNDK B01L00WJWA B01HEGJZY4 B07FZ7T4Y1 B01274MODW B071R2K3GZ B076TWQSYM B00XXJOM5Y B00LUN2I10 B0BS724RYS B0758BL7K2 B07FMSXZ7C B098D73J8L B0BWHNC5S7 B0BTK1JQ63 B07CPVJSDW B07JMHJ9FL,10.0,Sports & Outdoors
AG2UEDPK43QC5AU6HZTCBANPW2FQ,B006X41PRY,5.0,1376439283000,B004G7NCFI B0009NUG7U,85.5,Sports & Outdoors
AFJBKPK5W56XWSNPQU2WW66ISWYQ,B01186WA70,4.0,1442434641000,B00F2L0QV0 B00FGKGKCG B00NVPDZ8U B00X9ESP38,0.02,Amazon Home
AFJBKPK5W56XWSNPQU2WW66ISWYQ,B00AWVNPMM,5.0,1573939573046,B00F2L0QV0 B00FGKGKCG B00NVPDZ8U B00X9ESP38 B01186WA70 B0000ASZXN B01BG05W5A B01L6V7IRE B01D4VOPP2 B0CF5457S3 B01L1DJNM0 B01JZZXSOK B01MY9L1FO B019NE9QZS B071LHWDT3 B019K72RNG B09YSNSLNQ B07NSR3LPN B005FUKTEM B0007ZOG3U B001DDPVGG B07YVWM18F B08T87MV9K B075ZFMHJZ B01GLJS4AQ B082QDCJF5 B076VZJD54 B07CCKLC5Z B081PFKRP6 B09QQTQD77 B07FDW17RV B091PRFWH3 B073QTNLY4 B07HJCRTN8 B08FTDK6T4 B07DNV99VZ B0899BNRT5 B07GCKRVMX B082J3TDGQ B07DZL8RGQ B08NWXNLSD B09WVQ9XT7 B07PJFDNLY B07JB211PJ B07MJLYBD3 B09H41MPZW B07DXRWGCS B07221SH3B B07PLTX7TN B08465YM9L B07G5M3H75 B07KJKVG13 B079Q7Y5C2 B0C1TG7XFT B07HSL3BX5 B07DGCRMVZ B0BYF9JNJF B0BYFKCBWM B07MK4QYDW B0C3V9BTX4 B07VBBLTY8 B07MFSNK69 B07P7M7VQQ B08FD2WHRW B0898T4XC4 B08BRLQSJB B07MFC75HV B07HZRTWLN B07KW4NL6G B07V86XKFT B07VPXJHYP B07WZSSSR8 B07X41X8GM B084QDJ4HX,120.0,Sports & Outdoors
